,Id,SalePrice,Lot Area,Garage Area,Garage Type,Garage Cars,Fireplaces,Fireplace Qu,Fence,Paved Drive,Street,Central Air,Overall Qual,Overall Cond,total_sqr_ft,total_full_bathrooms,total_half_bathrooms,has_basement,total_sqr_ft^2
0,109,130500,13517,475.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,2204.0,2.0,1.0,1,4857616.0
1,544,220000,11492,559.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Good,Average,3035.0,3.0,1.0,1,9211225.0
2,153,109000,7922,246.0,Detchd,1.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,2114.0,2.0,0.0,1,4468996.0
3,318,174000,9802,400.0,BuiltIn,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,1828.0,2.0,1.0,1,3341584.0
4,255,138500,14235,484.0,Detchd,2.0,0,No fireplace,No fence,N,Pave,Y,Average,Good,2121.0,2.0,0.0,1,4498641.0
5,138,190000,16492,578.0,Attchd,2.0,1,Gd,No fence,Y,Pave,Y,Average,Good,3405.0,2.0,1.0,1,11594025.0
6,2827,140000,3675,525.0,Basment,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,1619.0,3.0,0.0,1,2621161.0
7,145,142000,12160,531.0,Attchd,2.0,0,No fireplace,MnPrv,Y,Pave,Y,Average,Average,2376.0,2.0,0.0,1,5645376.0
8,1942,112500,15783,420.0,Detchd,1.0,0,No fireplace,MnPrv,Y,Pave,Y,Average,Average,1848.0,1.0,0.0,1,3415104.0
9,1956,135000,11606,504.0,Attchd,2.0,2,TA,No fence,Y,Pave,Y,Average,Average,3120.0,1.0,3.0,1,9734400.0
10,1044,85400,1680,264.0,Detchd,1.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,1470.0,1.0,1.0,1,2160900.0
11,2752,183600,7488,632.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2416.0,2.0,0.0,1,5837056.0
12,807,131000,26400,576.0,Attchd,2.0,1,TA,No fence,P,Pave,Y,Average,Good,2016.0,1.0,0.0,0,4064256.0
13,1177,200000,2645,480.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2567.0,3.0,1.0,1,6589489.0
14,1480,193000,9627,610.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2712.0,2.0,0.0,1,7354944.0
15,324,173500,10114,624.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,2860.0,2.0,0.0,1,8179600.0
16,1311,98000,4571,513.0,Detchd,3.0,0,No fireplace,No fence,Y,Pave,N,Average,Average,1968.0,1.0,0.0,1,3873024.0
17,770,139000,8816,480.0,Detchd,2.0,0,No fireplace,MnPrv,Y,Pave,Y,Average,Good,2242.0,2.0,0.0,1,5026564.0
18,2063,143500,8197,528.0,Attchd,2.0,1,TA,MnPrv,Y,Pave,Y,Average,Average,1945.0,1.0,1.0,1,3783025.0
19,69,215200,8640,614.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2303.0,2.0,1.0,1,5303809.0
20,2062,129000,8724,450.0,Attchd,2.0,1,Po,No fence,Y,Pave,Y,Average,Average,1788.0,1.0,0.0,1,3196944.0
21,351,278000,5664,499.0,Attchd,2.0,1,Ex,No fence,Y,Pave,Y,Good,Average,3160.0,3.0,0.0,1,9985600.0
22,2393,344133,12867,575.0,Attchd,2.0,1,Gd,No fence,Y,Pave,Y,Good,Average,3462.0,2.0,1.0,1,11985444.0
23,12,185000,7980,420.0,Attchd,2.0,0,No fireplace,GdPrv,Y,Pave,Y,Average,Good,2355.0,3.0,0.0,1,5546025.0
24,2339,145000,34650,572.0,Attchd,2.0,0,No fireplace,No fence,Y,Pave,N,Average,Average,2112.0,2.0,0.0,1,4460544.0
25,624,187500,10573,530.0,Attchd,2.0,1,TA,GdPrv,Y,Pave,Y,Average,Good,2906.0,3.0,0.0,1,8444836.0
26,86,138500,8450,336.0,Detchd,1.0,1,Gd,MnPrv,Y,Pave,Y,Average,Good,1788.0,2.0,0.0,1,3196944.0
27,1534,198000,11700,240.0,Detchd,1.0,1,Gd,No fence,Y,Pave,Y,Average,Good,2880.0,2.0,0.0,1,8294400.0
28,2243,119600,8250,0.0,No Garage,0.0,0,No fireplace,No fence,N,Pave,N,Average,Good,2948.0,2.0,0.0,1,8690704.0
29,1957,122900,8064,576.0,Detchd,2.0,1,Po,MnPrv,Y,Pave,Y,Average,Good,1596.0,1.0,0.0,1,2547216.0
30,380,278000,9600,542.0,Attchd,2.0,1,Gd,MnPrv,Y,Pave,Y,Good,Average,5048.0,3.0,1.0,1,25482304.0
31,2860,230000,11435,400.0,Detchd,2.0,2,Gd,No fence,Y,Pave,Y,Good,Good,2309.0,1.0,0.0,1,5331481.0
32,2517,270000,9549,481.0,Attchd,2.0,1,Gd,No fence,Y,Pave,Y,Good,Average,2988.0,2.0,1.0,1,8928144.0
33,1933,125000,10950,410.0,Detchd,2.0,0,No fireplace,No fence,N,Pave,Y,Average,Good,1896.0,1.0,0.0,1,3594816.0
34,820,297000,10637,826.0,Attchd,3.0,1,Gd,No fence,Y,Pave,Y,Good,Average,3423.0,3.0,0.0,1,11716929.0
35,675,113500,9000,384.0,Basment,1.0,1,Gd,No fence,Y,Pave,Y,Average,Good,1302.0,1.0,0.0,1,1695204.0
36,2910,127000,2665,336.0,Attchd,1.0,1,TA,No fence,Y,Pave,Y,Average,Good,2232.0,2.0,0.0,1,4981824.0
37,21,190000,11751,546.0,Attchd,2.0,1,TA,MnPrv,Y,Pave,Y,Average,Good,3688.0,2.0,0.0,1,13601344.0
38,1873,175500,9600,528.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Good,Good,2484.0,1.0,1.0,1,6170256.0
39,2125,146000,8428,384.0,Detchd,1.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,1980.0,2.0,0.0,1,3920400.0
40,1489,147500,9937,276.0,Attchd,1.0,0,No fireplace,No fence,Y,Pave,Y,Average,Good,2512.0,2.0,1.0,1,6310144.0
41,2383,465000,13891,850.0,Attchd,3.0,1,Gd,No fence,Y,Pave,Y,Excellent,Average,4152.0,3.0,1.0,1,17239104.0
42,983,165500,9101,602.0,Attchd,2.0,1,TA,No fence,Y,Pave,Y,Average,Good,2207.0,2.0,0.0,1,4870849.0
43,1325,131500,12150,352.0,Attchd,1.0,0,No fireplace,No fence,Y,Pave,N,Average,Average,2845.0,2.0,0.0,1,8094025.0
44,1378,129500,11200,384.0,Detchd,1.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,2080.0,2.0,0.0,1,4326400.0
45,1537,257076,9670,786.0,Detchd,2.0,2,Gd,No fence,Y,Pave,Y,Good,Good,2481.0,1.0,1.0,1,6155361.0
46,905,117000,10998,660.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,2588.0,2.0,0.0,1,6697744.0
47,1532,149000,7200,270.0,Attchd,1.0,1,Gd,MnPrv,P,Pave,Y,Good,Good,2278.0,1.0,1.0,1,5189284.0
48,132,128000,9920,280.0,Attchd,1.0,0,No fireplace,MnPrv,Y,Pave,Y,Average,Average,2119.0,2.0,0.0,1,4490161.0
49,1078,155000,2448,474.0,BuiltIn,2.0,0,No fireplace,No fence,Y,Pave,Y,Good,Average,2390.0,2.0,1.0,1,5712100.0
50,2511,166000,2998,440.0,Detchd,2.0,0,No fireplace,No fence,Y,Pave,Y,Average,Average,2280.0,2.0,1.0,1,5198400.0
51,912,135000,7804,576.0,Detchd,2.0,2,TA,MnPrv,Y,Pave,Y,Fair,Fair,3103.0,3.0,0.0,1,9628609.0
